name,company,location,image,joburl,companyurl,deadline
Intern,
Merojob
,Kathmandu,image,/intern-112/,/employer/merojobcom/,

Apply Before: 2 weeks, 6 days from now


General Manager,
Cricket Association of Nepal (CAN)
,Mulpani, Kathmandu,image,/general-manager-310/,/employer/cricket-association-of-nepal-can/,

Apply Before: 1 week, 2 days from now


Dormitory Incharge,
Gyanodaya Bal Batika School
,Lalitpur, Kathmandu,image,/dormitory-incharge-3/,/employer/gyanodaya/,

Apply Before: 1 week, 2 days from now


Accountant,
Sherpa Pashmina Art
,Sherpa petrol pump, Tokha,image,/accountant-3093/,/employer/sherpa-pashmina-art-2/,

Apply Before: 4 days, 5 hours from now


Accounting - Semi Expert,
My Second Teacher
,Baluwatar, Kathmandu,image,/accounting-semi-expert-3/,/employer/my-second-teacher/,

Apply Before: 1 week, 2 days from now


Office Secretary / Front Desk Officer,
SPM Overseas
,Bhimsengola, Kathmandu, Nepal,image,/office-secretary-front-desk-officer-2/,/employer/spm-overseas/,

Apply Before: 4 days, 5 hours from now


